Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
4335,-0.04,0,1,0,0.01,0.1
4343,-0.05,0,1,0,0.01,0.09
4352,-0.04,0,1,0,0.01,0.08
4360,-0.03,-0.01,1,0,0.01,0.07
4367,-0.02,-0.01,1,0,0.01,0.05
4375,-0.01,0,1,0,0.01,0.04
4383,-0.01,0,1,0,0.01,0.03
4391,0,0,1,0,0.01,0.02
4399,0,0,1,0,0.01,0.02
4407,0.01,0,1,0,0.01,0.02
4414,0.01,0,1,0,0.01,0.01
4422,0.01,0,1,0,0.01,0.01
4431,0.01,0,1,0,0.01,0.01
4438,0.01,0,1,0,0.01,0.01
4446,0.01,0,1,0,0.01,0.01
4454,0.02,0,1,0,0.01,0
4461,0.02,0,1,0,0.01,0
4469,0.02,0,1,0,0.01,0
4478,0.02,0,1,0,0.01,0
4485,0.02,0,1,0,0.01,0
4493,0.02,0,1,0,0.01,0
4501,0.02,0,1,0,0,0
4509,0.02,0,1,0,0,0
4517,0.02,0,1,0,0,0
4525,0.02,0,1,0,0.01,0
4533,0.02,0,1,0,0,0
4540,0.02,0,1,0,0,0
4548,0.02,0,1,0,0,0
4556,0.02,0,1,0,0,0
4564,0.02,0,1,0,0,0
4572,0.02,0,1,0,0,0
4580,0.02,0,1,0,0,0
4587,0.02,0,1,0,0,0
4595,0.02,0,1,0,0,0
4604,0.02,0,1,0,0,0
4611,0.02,0,1,0,0,0
4619,0.02,0,1,0,0,0
4627,0.02,0,1,0,0,0
4634,0.02,0,1,0,0,0
4642,0.02,0,1,0,0,0
4651,0.02,0,1,0,0,0
4658,0.02,0,1,0,0,0
4666,0.02,0,1,0,0,0
4674,0.02,0,1,0,0,0
4682,0.02,0,1,0,0,0
4690,0.02,0,1,0,0,0
4698,0.02,0,1,0,0,0
4706,0.02,0,1,0,0,0
4713,0.02,0,1,0,0,0
4721,0.02,0,1,0,0,0
4730,0.02,0,1,0,0,0
4737,0.02,0,1,0,0,0
4745,0.02,0,1,0,0,0
4753,0.02,0,1,0,0,0
4760,0.02,0,1,0,0,0
4768,0.02,0,1,0,0,0
4777,0.02,0,1,0,0,0
4784,0.02,0,1,0,0,0
4792,0.02,0,1,0,0,0
4800,0.02,0,1,0,0,0
4808,0.02,0,1,0,0,0
4816,0.02,0,1,0,0,0
4824,0.02,0,1,0,0,0
4832,0.02,0,1,0,0,0
4839,0.02,0,1,0,0,0
4847,0.02,0,1,0,0,0
4855,0.02,0,0.99,0,0.01,0
4863,0.02,0,1,0,0.01,0
4871,0.02,0,1.01,0,-0.01,0
4879,0.02,0,1,0,-0.01,0
4886,0.02,0,1.02,0,0,0
4894,0.02,0,1,0,0.01,0
4903,0.02,0,1,0,0.01,0
4910,0.02,0,1,0,0.01,0
4918,0.02,0,1,0,0.01,0
4926,0.02,0,1,0,0,0
4934,0.02,0,1,0,0,0
